iter	Passed	Remaining
0	1	118
1	2	104
2	3	99
3	3	90
4	4	89
5	5	87
6	6	87
7	7	86
8	8	86
9	9	85
10	10	83
11	11	81
12	12	80
13	12	79
14	14	79
15	15	79
16	15	78
17	16	76
18	17	74
19	18	73
20	19	72
21	19	70
22	20	69
23	21	68
24	22	66
25	22	64
26	23	63
27	24	62
28	25	61
29	25	59
30	26	58
31	27	57
32	27	56
33	28	55
34	29	54
35	29	53
36	30	52
37	31	50
38	31	49
39	32	48
40	33	47
41	33	46
42	33	45
43	34	44
44	35	43
45	35	41
46	36	40
47	36	39
48	37	38
49	37	37
50	38	36
51	38	35
52	39	34
53	39	33
54	40	32
55	40	32
56	41	31
57	42	30
58	42	29
59	43	29
60	44	28
61	44	27
62	45	26
63	46	25
64	46	25
65	47	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	56	12
82	57	11
83	58	11
84	58	10
85	59	9
86	59	8
87	60	8
88	60	7
89	61	6
90	62	6
91	62	5
92	63	4
93	63	4
94	64	3
95	64	2
96	65	2
97	66	1
98	66	0
99	67	0
