iter	Passed	Remaining
0	145	145044
1	146	72897
2	147	48942
3	148	36905
4	149	29653
5	149	24811
6	150	21339
7	151	18737
8	151	16708
9	152	15089
10	153	13764
11	153	12657
12	154	11721
13	155	10928
14	156	10254
15	156	9653
16	157	9115
17	158	8638
18	159	8210
19	159	7830
20	160	7498
21	162	7204
22	162	6917
23	163	6649
24	164	6403
25	164	6175
26	165	5963
27	166	5767
28	166	5585
29	167	5414
30	168	5255
31	168	5105
32	170	4987
33	170	4858
34	171	4735
35	172	4618
36	173	4510
37	174	4407
38	175	4314
39	176	4228
40	176	4137
41	177	4053
42	178	3972
43	179	3896
44	180	3822
45	180	3752
46	181	3683
47	182	3617
48	183	3559
49	184	3502
50	185	3445
51	185	3389
52	186	3337
53	187	3285
54	188	3236
55	189	3189
56	190	3149
57	191	3105
58	192	3062
59	192	3020
60	193	2979
61	194	2939
62	195	2901
63	195	2865
64	196	2829
65	197	2795
66	198	2761
67	199	2728
68	199	2697
69	200	2666
70	201	2636
71	202	2606
72	202	2577
73	203	2550
74	204	2524
75	205	2501
76	206	2479
77	207	2453
78	208	2428
79	209	2405
80	209	2381
81	210	2358
82	210	2331
83	211	2309
84	212	2287
85	213	2266
86	213	2245
87	214	2225
88	215	2206
89	216	2187
90	217	2167
91	217	2149
92	218	2130
93	219	2113
94	220	2101
95	221	2085
96	222	2068
97	222	2051
98	223	2034
99	224	2018
100	224	2002
101	225	1986
102	226	1971
103	227	1956
104	227	1942
105	228	1928
106	229	1915
107	230	1902
108	231	1890
109	232	1878
110	232	1864
111	233	1852
112	234	1841
113	236	1834
114	236	1823
115	237	1811
116	238	1798
117	239	1787
118	239	1775
119	240	1765
120	241	1754
121	242	1743
122	243	1733
123	244	1723
124	244	1713
125	245	1703
126	246	1692
127	246	1682
128	247	1672
129	248	1662
130	249	1653
131	250	1646
132	251	1638
133	252	1631
134	253	1622
135	254	1613
136	254	1604
137	255	1596
138	256	1588
139	257	1580
140	258	1572
141	258	1562
142	259	1553
143	260	1545
144	260	1537
145	261	1529
146	262	1522
147	263	1514
148	263	1506
149	264	1499
150	265	1493
151	266	1487
152	267	1480
153	268	1473
154	268	1466
155	269	1460
156	270	1453
157	271	1446
158	272	1439
159	272	1432
160	273	1424
161	274	1418
162	274	1411
163	275	1405
164	276	1399
165	277	1393
166	278	1386
167	278	1381
168	279	1376
169	280	1371
170	281	1366
171	282	1360
172	283	1354
173	284	1348
174	284	1342
175	285	1337
176	286	1331
177	287	1325
178	288	1320
179	288	1315
180	289	1310
181	290	1305
182	291	1300
183	292	1295
184	292	1289
185	293	1284
186	294	1279
187	295	1275
188	296	1271
189	297	1267
190	298	1262
191	298	1257
192	299	1252
193	300	1247
194	301	1242
195	301	1238
196	302	1233
197	303	1229
198	304	1224
199	305	1220
200	305	1216
201	306	1211
202	307	1207
203	308	1203
204	309	1198
205	309	1194
206	310	1190
207	311	1187
208	312	1184
209	313	1180
210	314	1175
211	315	1171
212	315	1166
213	316	1162
214	317	1158
215	318	1154
216	318	1150
217	319	1145
218	320	1142
219	320	1138
220	321	1134
221	322	1130
222	323	1126
223	323	1122
224	324	1118
225	325	1115
226	326	1112
227	327	1109
228	328	1105
229	329	1101
230	329	1097
231	330	1094
232	331	1090
233	332	1087
234	332	1083
235	333	1080
236	334	1077
237	335	1073
238	336	1069
239	336	1066
240	337	1063
241	338	1059
242	339	1056
243	339	1053
244	340	1050
245	341	1047
246	342	1044
247	343	1041
248	344	1037
249	344	1034
250	345	1031
251	346	1027
252	347	1024
253	347	1021
254	348	1018
255	349	1014
256	349	1011
257	350	1008
258	351	1005
259	352	1002
260	352	999
261	353	996
262	354	993
263	355	990
264	356	987
265	357	985
266	357	982
267	358	979
268	359	976
269	360	973
270	360	970
271	361	968
272	362	965
273	363	962
274	363	959
275	364	956
276	365	953
277	366	950
278	366	948
279	367	945
280	368	943
281	369	940
282	370	938
283	370	935
284	371	933
285	373	931
286	374	930
287	375	927
288	375	924
289	376	922
290	377	919
291	378	917
292	379	915
293	380	913
294	381	910
295	381	908
296	382	905
297	383	903
298	384	901
299	385	898
300	386	896
301	387	895
302	388	893
303	389	892
304	390	889
305	391	887
306	392	885
307	392	882
308	393	880
309	394	877
310	395	875
311	395	872
312	396	870
313	397	868
314	398	866
315	399	864
316	400	861
317	400	859
318	401	857
319	403	856
320	404	854
321	404	852
322	405	849
323	406	847
324	407	845
325	408	843
326	408	841
327	409	839
328	410	837
329	411	835
330	412	833
331	413	831
332	413	828
333	414	826
334	415	824
335	416	822
336	417	820
337	418	819
338	419	817
339	420	815
340	420	813
341	421	810
342	422	808
343	423	806
344	423	804
345	424	802
346	425	800
347	426	798
348	426	795
349	427	793
350	428	791
351	428	789
352	429	787
353	430	785
354	431	783
355	432	781
356	433	780
357	434	779
358	435	777
359	436	775
360	437	773
361	437	771
362	438	769
363	440	769
364	440	767
365	441	765
366	442	763
367	443	761
368	444	760
369	445	758
370	446	756
371	446	754
372	447	752
373	449	751
374	449	749
375	450	747
376	451	746
377	452	744
378	453	742
379	453	740
380	454	738
381	455	737
382	456	735
383	457	733
384	458	732
385	459	730
386	460	728
387	460	726
388	461	725
389	462	724
390	464	722
391	465	721
392	465	719
393	466	717
394	468	716
395	468	715
396	469	713
397	470	712
398	471	710
399	472	708
400	473	707
401	474	705
402	475	703
403	475	702
404	476	700
405	477	698
406	478	697
407	479	695
408	480	694
